nbits,test_images,random_images_sim,time,output_indices,number_of_similar_images
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/R3PIV.jpg,0.9784262,0.0003032684326171875,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/LLOS8.jpg,0.9690358,0.0002911090850830078,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/U0V49.jpg,0.9860395,0.000347137451171875,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/4459D.jpg,0.97841334,0.00021600723266601562,"[64, 112]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/GX7BZ.jpg,0.9848367,0.00036406517028808594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/B74XD.jpg,0.9592054,0.0002460479736328125,"[10, 15]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/37689.jpg,0.9781829,0.00030803680419921875,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/G4YPH.jpg,0.97565615,0.0003211498260498047,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/X26UR.jpg,0.98254675,0.0002880096435546875,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/C0V9N.jpg,0.9832995,0.0002982616424560547,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/R8XH0.jpg,0.9831436,0.0003027915954589844,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/IBRM8.jpg,0.98107564,0.000324249267578125,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/ATXIR.jpg,0.97747976,0.00030493736267089844,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/KGL17.jpg,0.98153466,0.00021195411682128906,"[13, 183]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/NOUU7.jpg,0.98521173,0.0003178119659423828,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/1HECR.jpg,0.98432934,0.00020813941955566406,"[7, 13]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/DT3DN.jpg,0.98396134,0.00018835067749023438,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/IDQN2.jpg,0.966512,0.00031113624572753906,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/HN9MP.jpg,0.97242105,0.0003497600555419922,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/LTJH2.jpg,0.9787476,0.0002989768981933594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/8MDHP.jpg,0.98531693,0.0003781318664550781,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/63E5B.jpg,0.9753613,0.00023603439331054688,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/01NQL.jpg,0.9766728,0.0003666877746582031,"[0, 1]",2
